,Price,Rate,Size,RefreshR,RateNumber,Resolution
2,99.98,4.6,24,60,25777,1920
4,66.97,4.5,20,60,25775,1600
5,98.99,4.6,24,75,156,none
6,372.25,4.2,27,75,414,2560
8,119.99,4.4,24,165,1406,1920
9,279.99,4.3,27,75,886,1920
10,66.97,4.5,20,60,25775,1600
13,79.99,4.6,22,75,1751,none
15,159.99,4.3,27,165,1535,1920
16,119.99,4.4,24,165,1406,1920
17,132.99,4.6,27,75,4192,1920
20,129.99,4.6,27,165,982,1920
21,119.99,4.2,24,100,75,1920
22,119.99,4.7,27,none,437,1920
24,159.99,4.6,27,75,1932,1920
25,77.97,4.5,22,75,91,1920
26,249.99,4.4,30,200,193,2560
27,87.24,4.5,22,60,7448,1920
30,0.0,4.6,27,60,358,3840
31,259.99,4.1,24,75,368,1920
32,179.99,4.4,27,165,105,none
34,210.48,4.4,34,75,2140,3440
35,367.99,4.6,34,144,3784,3440
37,179.99,4.4,27,165,105,none
38,139.99,4.3,24,180,583,1920
40,104.97,4.6,24,75,4262,1920
41,240.0,4.6,27,165,1170,2560
42,619.94,4.5,34,100,1658,3440
44,76.99,4.4,22,75,2069,1920
45,109.99,4.6,24,60,728,1920
47,99.99,4.5,24,75,2547,1920
49,79.99,4.6,22,75,1751,none
50,413.61,4.6,34,60,3798,3440
53,139.98,4.5,27,75,7273,1920
55,129.97,4.6,27,75,800,1920
58,249.99,4.1,24,75,368,1920
59,393.74,4.6,34,160,2135,3440
60,97.99,4.4,24,75,140,1920
61,249.0,4.8,27,240,7,1920
62,149.87,4.6,24,165,366,1920
63,93.98,4.4,24,75,598,1920
64,79.99,4.3,22,75,276,1920
67,289.99,4.1,32,60,214,3840
68,149.99,4.4,27,75,33,1920
69,276.99,4.6,34,100,3559,2560
70,126.99,4.6,24,75,438,1920
72,149.99,4.4,27,75,33,1920
73,229.99,4.5,34,75,653,2560
74,119.99,4.6,27,75,1397,1920
75,146.99,4.6,27,75,828,1920
76,149.98,4.6,24,165,4176,1920
78,94.99,4.2,24,75,68,1920
79,84.99,5.0,24,75,8,1920
80,149.99,4.6,27,75,2755,1920
81,104.97,4.6,24,75,4262,1920
82,151.99,4.4,16,120,317,none
83,399.99,4.3,39,165,52,2560
84,1299.99,4.5,34,175,1214,3440
85,199.99,4.6,32,60,9041,1920
86,282.86,4.4,27,60,2353,3840
89,119.99,4.6,27,75,1397,1920
90,239.99,4.5,32,180,194,1920
91,129.97,4.6,27,75,800,1920
95,184.99,4.6,27,75,397,1920
96,0.0,4.6,27,165,7885,2560
97,99.99,4.5,27,75,42,1920
98,92.99,4.0,15,60,95,1440
99,99.99,4.5,27,75,42,1920
100,149.99,4.5,27,75,2865,1920
101,148.88,4.5,24,75,9956,1920
103,79.98,4.6,22,75,1473,1080
104,162.99,4.5,24,120,474,1920
105,232.29,4.6,27,165,7148,2560
106,119.99,4.4,27,75,105,1920
107,129.0,4.6,27,60,3087,1920
108,76.99,4.4,22,75,2069,1920
110,264.99,4.7,32,60,152,3840
113,159.0,4.7,27,75,2021,1920
114,229.99,4.6,27,144,2834,2560
115,149.99,4.4,27,75,598,1920
116,289.99,4.3,27,75,117,1920
117,97.99,4.4,24,75,140,1920
118,549.99,4.6,28,144,2834,3840
